task_id,task_name,phase,duration_days,equipment_tag,predecessors,float_days,is_critical
T-0001,Site Survey & Geotechnical Assessment #1,CIVIL,23,FOUND-01,,0,1
T-0002,Earthworks & Excavation #2,CIVIL,3,DRAIN-02,T-0001,0,1
T-0003,Pile Foundation Installation #3,CIVIL,11,FOUND-03,T-0002,0,1
T-0004,Concrete Slab Pour (Zone 4),CIVIL,10,FOUND-04,T-0003,0,1
T-0005,Underground Utility Routing #5,CIVIL,6,DRAIN-05,T-0004,0,1
T-0006,Site Drainage System #6,CIVIL,20,FOUND-06,T-0005,0,1
T-0007,Perimeter Security Fencing #7,CIVIL,21,GRND-07,T-0006,0,1
T-0008,Access Road Construction #8,CIVIL,4,FOUND-08,T-0007,0,1
T-0009,Retaining Wall Installation #9,CIVIL,5,FOUND-09,T-0008,0,1
T-0010,Site Survey & Geotechnical Assessment #10,CIVIL,10,DRAIN-10,T-0009,0,1
T-0011,Earthworks & Excavation #11,CIVIL,22,FOUND-11,T-0010,0,1
T-0012,Pile Foundation Installation #12,CIVIL,20,FOUND-12,T-0011,0,1
T-0013,Concrete Slab Pour (Zone 13),CIVIL,25,DRAIN-13,T-0012,0,1
T-0014,Underground Utility Routing #14,CIVIL,25,DRAIN-14,T-0013,0,1
T-0015,Site Drainage System #15,CIVIL,16,FOUND-15,T-0014,0,1
T-0016,Perimeter Security Fencing #16,CIVIL,17,DRAIN-16,T-0015,0,1
T-0017,Access Road Construction #17,CIVIL,11,FOUND-17,T-0016,0,1
T-0018,Retaining Wall Installation #18,CIVIL,8,DRAIN-18,T-0017,0,1
T-0019,Site Survey & Geotechnical Assessment #19,CIVIL,16,GRND-19,T-0018,0,1
T-0020,Earthworks & Excavation #20,CIVIL,11,FOUND-20,T-0019,0,1
T-0021,Pile Foundation Installation #21,CIVIL,9,GRND-21,T-0020,0,1
T-0022,Concrete Slab Pour (Zone 22),CIVIL,6,FOUND-22,T-0021,0,1
T-0023,Underground Utility Routing #23,CIVIL,15,FOUND-23,T-0022,0,1
T-0024,Site Drainage System #24,CIVIL,14,GRND-24,T-0023,0,1
T-0025,Perimeter Security Fencing #25,CIVIL,22,GRND-25,T-0024,0,1
T-0026,Access Road Construction #26,CIVIL,4,DRAIN-26,T-0025,0,1
T-0027,Retaining Wall Installation #27,CIVIL,17,DRAIN-27,T-0026,0,1
T-0028,Site Survey & Geotechnical Assessment #28,CIVIL,6,GRND-28,T-0027,0,1
T-0029,Earthworks & Excavation #29,CIVIL,5,DRAIN-29,T-0028,0,1
T-0030,Pile Foundation Installation #30,CIVIL,12,DRAIN-30,T-0029,0,1
T-0031,Concrete Slab Pour (Zone 31),CIVIL,22,GRND-31,,372,0
T-0032,Underground Utility Routing #32,CIVIL,21,FOUND-32,,373,0
T-0033,Site Drainage System #33,CIVIL,25,FOUND-33,,369,0
T-0034,Perimeter Security Fencing #34,CIVIL,4,DRAIN-34,,390,0
T-0035,Access Road Construction #35,CIVIL,10,GRND-35,,384,0
T-0036,Retaining Wall Installation #36,CIVIL,5,FOUND-36,,389,0
T-0037,Site Survey & Geotechnical Assessment #37,CIVIL,6,GRND-37,,388,0
T-0038,Earthworks & Excavation #38,CIVIL,11,GRND-38,,383,0
T-0039,Pile Foundation Installation #39,CIVIL,23,GRND-39,,371,0
T-0040,Concrete Slab Pour (Zone 40),CIVIL,8,GRND-40,,386,0
T-0041,Underground Utility Routing #41,CIVIL,14,FOUND-41,,380,0
T-0042,Site Drainage System #42,CIVIL,24,GRND-42,,370,0
T-0043,Perimeter Security Fencing #43,CIVIL,25,DRAIN-43,,369,0
T-0044,Access Road Construction #44,CIVIL,23,FOUND-44,,371,0
T-0045,Retaining Wall Installation #45,CIVIL,22,DRAIN-45,,372,0
T-0046,Site Survey & Geotechnical Assessment #46,CIVIL,8,DRAIN-46,,386,0
T-0047,Earthworks & Excavation #47,CIVIL,10,FOUND-47,,384,0
T-0048,Pile Foundation Installation #48,CIVIL,17,GRND-48,,377,0
T-0049,Concrete Slab Pour (Zone 49),CIVIL,11,DRAIN-49,,383,0
T-0050,Underground Utility Routing #50,CIVIL,25,DRAIN-50,,369,0
T-0051,Site Drainage System #51,CIVIL,10,DRAIN-51,,384,0
T-0052,Perimeter Security Fencing #52,CIVIL,13,FOUND-52,,381,0
T-0053,Access Road Construction #53,CIVIL,10,FOUND-53,,384,0
T-0054,Retaining Wall Installation #54,CIVIL,13,GRND-54,,381,0
T-0055,Site Survey & Geotechnical Assessment #55,CIVIL,11,FOUND-55,,383,0
T-0056,Earthworks & Excavation #56,CIVIL,9,DRAIN-56,,385,0
T-0057,Pile Foundation Installation #57,CIVIL,25,GRND-57,,369,0
T-0058,Concrete Slab Pour (Zone 58),CIVIL,9,DRAIN-58,,385,0
T-0059,Underground Utility Routing #59,CIVIL,18,GRND-59,,376,0
T-0060,Site Drainage System #60,CIVIL,23,GRND-60,,371,0
T-0061,Perimeter Security Fencing #61,CIVIL,7,GRND-61,,387,0
T-0062,Access Road Construction #62,CIVIL,7,FOUND-62,,387,0
T-0063,Retaining Wall Installation #63,CIVIL,20,DRAIN-63,,374,0
T-0064,Site Survey & Geotechnical Assessment #64,CIVIL,11,DRAIN-64,,383,0
T-0065,Earthworks & Excavation #65,CIVIL,21,GRND-65,,373,0
T-0066,Pile Foundation Installation #66,CIVIL,21,GRND-66,,373,0
T-0067,Concrete Slab Pour (Zone 67),CIVIL,14,FOUND-67,,380,0
T-0068,Underground Utility Routing #68,CIVIL,7,DRAIN-68,,387,0
T-0069,Site Drainage System #69,CIVIL,18,FOUND-69,,376,0
T-0070,Perimeter Security Fencing #70,CIVIL,4,FOUND-70,,390,0
T-0071,Access Road Construction #71,CIVIL,7,DRAIN-71,,387,0
T-0072,Retaining Wall Installation #72,CIVIL,8,DRAIN-72,,386,0
T-0073,Site Survey & Geotechnical Assessment #73,CIVIL,16,DRAIN-73,,378,0
T-0074,Earthworks & Excavation #74,CIVIL,5,GRND-74,,389,0
T-0075,Pile Foundation Installation #75,CIVIL,15,DRAIN-75,,379,0
T-0076,Concrete Slab Pour (Zone 76),CIVIL,17,DRAIN-76,,377,0
T-0077,Underground Utility Routing #77,CIVIL,11,DRAIN-77,,383,0
T-0078,Site Drainage System #78,CIVIL,3,DRAIN-78,,391,0
T-0079,Perimeter Security Fencing #79,CIVIL,6,DRAIN-79,,388,0
T-0080,Access Road Construction #80,CIVIL,20,GRND-80,,374,0
T-0081,Retaining Wall Installation #81,CIVIL,23,GRND-81,,371,0
T-0082,Site Survey & Geotechnical Assessment #82,CIVIL,6,GRND-82,,388,0
T-0083,Earthworks & Excavation #83,CIVIL,16,FOUND-83,,378,0
T-0084,Pile Foundation Installation #84,CIVIL,17,FOUND-84,,377,0
T-0085,Concrete Slab Pour (Zone 85),CIVIL,11,DRAIN-85,,383,0
T-0086,Underground Utility Routing #86,CIVIL,8,DRAIN-86,,386,0
T-0087,Site Drainage System #87,CIVIL,6,DRAIN-87,,388,0
T-0088,Perimeter Security Fencing #88,CIVIL,12,DRAIN-88,,382,0
T-0089,Access Road Construction #89,CIVIL,19,DRAIN-89,,375,0
T-0090,Retaining Wall Installation #90,CIVIL,9,FOUND-90,,171,0
T-0091,Steel Frame Erection (Block 1),STRUCTURAL,14,STEEL-01,T-0090,171,0
T-0092,Precast Panel Installation #2,STRUCTURAL,20,STEEL-02,T-0091,171,0
T-0093,Metal Deck Installation #3,STRUCTURAL,22,CONC-03,T-0092,171,0
T-0094,Concrete Column Pour #4,STRUCTURAL,18,STEEL-04,T-0093,171,0
