equipment_tag,description,vendor,origin_country,lead_time_days,delay_days,status,linked_task,unit_cost_usd,quantity,port_of_entry
GEN-CAT-01,GEN Equipment - GEN-CAT-01,Caterpillar Inc.,Japan,120,18,Customs Hold,T-0001,502688,3,Seattle
GEN-CAT-02,GEN Equipment - GEN-CAT-02,Caterpillar Inc.,China,179,0,On Track,,1752692,8,Seattle
GEN-CUM-01,GEN Equipment - GEN-CUM-01,Caterpillar Inc.,Japan,91,0,Confirmed,,809477,3,Los Angeles
UPS-EAT-01,UPS Equipment - UPS-EAT-01,Eaton Corporation,South Korea,95,0,Confirmed,T-0404,1130603,1,Houston
UPS-EAT-02,UPS Equipment - UPS-EAT-02,Eaton Corporation,South Korea,152,0,On Track,,2063700,3,Seattle
UPS-SCH-01,UPS Equipment - UPS-SCH-01,Eaton Corporation,South Korea,128,0,Confirmed,T-0283,1592133,8,Houston
UPS-SCH-02,UPS Equipment - UPS-SCH-02,Eaton Corporation,South Korea,171,6,At Risk,,1616296,4,Seattle
XFMR-ABB-01,XFMR Equipment - XFMR-ABB-01,ABB Ltd.,India,65,0,On Track,,1608999,7,Newark
XFMR-ABB-02,XFMR Equipment - XFMR-ABB-02,ABB Ltd.,South Korea,123,0,On Track,T-0495,1402486,2,Seattle
XFMR-GE-01,XFMR Equipment - XFMR-GE-01,ABB Ltd.,India,72,3,At Risk,,614631,7,Newark
SWGR-SEA-01,SWGR Equipment - SWGR-SEA-01,Schneider Electric,China,69,0,Confirmed,,1430028,7,Los Angeles
SWGR-SEA-02,SWGR Equipment - SWGR-SEA-02,Schneider Electric,South Korea,169,0,On Track,,1603874,6,Seattle
SWGR-ABB-01,SWGR Equipment - SWGR-ABB-01,Schneider Electric,India,171,6,At Risk,T-0036,1215354,4,Los Angeles
CRAC-VRT-01,CRAC Equipment - CRAC-VRT-01,Vertiv Group,India,115,0,On Track,,431557,8,Newark
CRAC-VRT-02,CRAC Equipment - CRAC-VRT-02,Vertiv Group,USA,148,0,On Track,,1370525,1,Houston
CRAC-STO-01,CRAC Equipment - CRAC-STO-01,Vertiv Group,Germany,105,0,On Track,,2237873,7,Chicago
